PERIODO;GRUPO_ARANCELARIO;FOB_US_IVV_AY;CANTIDAD_MERCANCIA_AY;PESO_BRUTO_KG_AY;FOB_US_IVV_CL;CANTIDAD_MERCANCIA_CL;PESO_BRUTO_KG_CL;% FOB_US_IVV;% CANTIDAD_MERCANCIA;% PESO_BRUTO_KG
2002;S1;118677674,02;43947448,9335;48225008,76;2272148640,51;1871479311,1197;2050034114,45;0,05223147460694382;0,023482732976196453;0,02352400304954837
2002;S10;28026,36;74199,0;74761,0;1119805561,35;2450004255,2031;2714835658,19;2,5027880702978796e-05;3,0285253522487887e-05;2,7537946827265294e-05
2002;S11;1108249,74;840652,7092;844925,66;126646581,41;31658339,0404;31490794,66;0,008750727636399452;0,02655391074456629;0,026830877693703778
2002;S12;2,15;1,0;1,0;8392318,98;1073247,5083;1118149,32;2,5618663984576044e-07;9,317515226138074e-07;8,943349355164836e-07
2002;S14;66,85;2,5;3,0;350678060,51;4380185,1999;4245782,59;1,9063068816674287e-07;5,707521225488536e-07;7,065835182107147e-07
2002;S15;26545,66;2060,6;2145,0;4914038190,66;3329151251,2609;3334544524,93;5,40200522870472e-06;6,189565581376207e-07;6,432662643918448e-07
2002;S16;21806,75;885,4;1075,08;342762828,41;42212491,2217;48552126,86;6,362052180849548e-05;2,0974834092351464e-05;2,2142799286630465e-05
2002;S18;279,06;22,0;10,0;46427214,07;7023518,9956;946773,96;6,010698802199311e-06;3,1323329535781513e-06;1,056218318467483e-05
2002;S2;387508,31000000006;30331,0;32938,3;1828953403,57;2300538022,1513;2451447585,26;0,0002118743480526123;1,3184307195947407e-05;1,3436265249173815e-05
2002;S4;3366920,72;1445535,22;1600724,7;1609393925,47;1497566357,1747;1706874563,52;0,0020920426420876046;0,0009652562058933658;0,0009378103899438911
2002;S5;26660211,060000002;75100198,82;92316931,0;2494334187,98;14750619037,9158;15259524519,04;0,010688307600670936;0,005091325226891042;0,006049790796876533
2002;S7;4678,34;138,64999999999998;216,32;236749307,3;145238791,6097;160450364,99;1,9760733635734696e-05;9,54634767084774e-07;1,3482050976542311e-06
2002;S8;25344,29;10271,92;10605,24;29202626,24;9856390,349;9975571,07;0,0008678770803594685;0,0010421584004170613;0,001063121091071531
2002;S9;5175457,55;276274,5008;6050678,8;1128311469,67;2998466194,4869;5370775268,54;0,004586905025004911;9,213860783488883e-05;0,0011265931820760816
2003;S1;149088138,15;44333341,7973;48395121,69;2676720558,36;1975363571,3173;2135612102,04;0,05569805846350462;0,0224431301867816;0,022661007419732985
2003;S10;833,84;198,79;366,79;1226729755,17;2661797893,109;2747500878,52;6,797259106871884e-07;7,468260475922602e-08;1,334995023541464e-07
2003;S11;1079291,99;525304,295;520406,05;141121274,81;34782687,9851;34271269,65;0,007647975058708301;0,015102464054101476;0,015184907221550808
2003;S12;27,39;0,4;0,6;6689385,15;1115988,8413;1068278,29;4,094546716300227e-06;3,584265229158076e-07;5,616514026508953e-07
2003;S15;36590,0;2047,77;2352,16;5555244299,16;3269734211,356;3278769036,49;6,5865690201118105e-06;6,262802624408924e-07;7,17391183649228e-07
